Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,27.97,-1.69,28.18,-1.68,28.18,-1.68
0.014,27.98,-1.7,28.18,-1.68,28.18,-1.68
0.028,27.98,-1.66,28.18,-1.68,28.18,-1.68
0.042,27.99,-1.66,28.18,-1.68,28.18,-1.68
0.056,28.03,-1.69,28.18,-1.68,28.18,-1.68
0.071,28.03,-1.76,28.18,-1.68,28.18,-1.68
0.085,28.02,-1.74,28.18,-1.68,28.18,-1.68
0.099,28.0,-1.65,28.18,-1.68,28.18,-1.68
0.114,27.99,-1.69,28.18,-1.68,28.18,-1.68
0.128,28.03,-1.67,28.19,-1.68,28.18,-1.68
0.142,28.02,-1.63,28.19,-1.68,28.18,-1.68
0.157,27.97,-1.66,28.19,-1.68,28.18,-1.68
0.171,27.98,-1.71,28.19,-1.68,28.18,-1.68
0.185,27.91,-1.75,28.18,-1.68,28.18,-1.68
0.199,27.87,-1.72,28.18,-1.68,28.18,-1.68
0.214,27.9,-1.69,28.18,-1.68,28.18,-1.68
0.228,27.98,-1.7,28.18,-1.68,28.18,-1.68
0.243,27.96,-1.72,28.18,-1.68,28.18,-1.68
0.257,28.0,-1.68,28.18,-1.68,28.17,-1.68
0.271,28.02,-1.67,28.18,-1.68,28.17,-1.68
0.285,28.01,-1.7,28.18,-1.68,28.18,-1.68
0.3,27.97,-1.69,28.18,-1.68,28.18,-1.68
0.315,27.94,-1.69,28.18,-1.68,28.17,-1.68
0.329,27.98,-1.69,28.18,-1.68,28.17,-1.68
0.343,28.02,-1.71,28.18,-1.68,28.18,-1.68
0.357,27.98,-1.7,28.18,-1.68,28.18,-1.68
0.371,27.99,-1.69,28.18,-1.68,28.18,-1.68
0.386,28.04,-1.69,28.18,-1.68,28.18,-1.68
0.4,28.04,-1.7,28.18,-1.68,28.18,-1.68
0.414,28.0,-1.66,28.18,-1.68,28.18,-1.68
0.428,28.03,-1.7,28.18,-1.67,28.18,-1.67
0.442,27.94,-1.74,28.18,-1.67,28.17,-1.68
0.457,27.97,-1.69,28.18,-1.68,28.17,-1.68
0.471,28.01,-1.66,28.17,-1.68,28.17,-1.68
0.485,27.98,-1.67,28.17,-1.68,28.17,-1.68
0.499,27.98,-1.67,28.17,-1.68,28.17,-1.68
0.514,27.99,-1.7,28.17,-1.68,28.17,-1.68
0.528,27.94,-1.73,28.17,-1.68,28.17,-1.68
0.542,27.95,-1.76,28.17,-1.68,28.17,-1.68
0.556,27.95,-1.75,28.17,-1.68,28.17,-1.68
0.57,27.94,-1.73,28.17,-1.68,28.17,-1.68
0.584,27.98,-1.73,28.18,-1.68,28.17,-1.68
0.599,28.0,-1.7,28.17,-1.68,28.17,-1.68
0.613,27.96,-1.68,28.17,-1.68,28.17,-1.68
0.627,27.93,-1.65,28.17,-1.68,28.17,-1.68
0.641,28.01,-1.7,28.17,-1.68,28.17,-1.68
0.655,27.99,-1.73,28.17,-1.68,28.17,-1.68
0.67,28.02,-1.74,28.17,-1.68,28.17,-1.68
0.684,27.99,-1.71,28.17,-1.68,28.17,-1.68
0.698,27.96,-1.72,28.18,-1.68,28.17,-1.68
0.712,27.97,-1.72,28.18,-1.68,28.17,-1.68
0.727,27.96,-1.71,28.17,-1.68,28.17,-1.68
0.741,27.95,-1.7,28.18,-1.68,28.17,-1.68
0.755,27.97,-1.73,28.18,-1.68,28.17,-1.68
0.769,28.01,-1.74,28.18,-1.68,28.17,-1.68
0.783,28.0,-1.72,28.18,-1.68,28.17,-1.68
0.798,27.98,-1.69,28.18,-1.68,28.17,-1.68
0.812,27.97,-1.66,28.18,-1.68,28.17,-1.68
0.826,27.95,-1.65,28.18,-1.68,28.17,-1.68
0.841,27.96,-1.72,28.18,-1.68,28.17,-1.68
0.855,27.98,-1.71,28.18,-1.68,28.17,-1.68
0.869,28.01,-1.69,28.18,-1.68,28.17,-1.68
0.883,28.05,-1.72,28.18,-1.68,28.18,-1.68
