Time (s),Accel Roll (deg),Gyro Roll (deg)
0.001,27.84,27.99
0.006,27.73,27.99
0.02,27.83,27.99
0.035,27.88,27.99
0.049,27.82,27.99
0.065,27.78,27.99
0.08,27.81,27.99
0.094,27.85,27.99
0.109,27.73,27.99
0.123,27.73,27.99
0.138,27.8,27.99
0.153,27.8,27.99
0.168,27.74,27.99
0.182,27.77,27.99
0.197,27.84,27.98
0.212,27.78,27.99
0.227,27.82,27.99
0.241,27.85,27.99
0.255,27.83,27.99
0.27,27.75,27.99
0.285,27.77,27.99
0.299,27.86,27.99
0.314,27.84,27.99
0.329,27.81,27.99
0.343,27.81,27.99
0.358,27.79,27.99
0.372,27.79,27.99
0.386,27.82,27.99
0.4,27.8,27.99
0.415,27.75,27.99
0.429,27.72,27.99
0.444,27.74,27.99
0.462,27.77,27.99
0.476,27.79,27.99
0.49,27.76,27.99
0.505,27.78,27.99
0.519,27.86,27.99
0.533,27.84,27.99
0.548,27.82,27.99
0.562,27.8,27.99
0.576,27.87,27.99
0.59,27.86,27.99
0.604,27.81,27.98
0.619,27.79,27.98
0.633,27.85,27.98
0.648,27.87,27.98
0.662,27.85,27.98
0.676,27.82,27.98
0.69,27.79,27.98
0.704,27.85,27.98
0.719,27.85,27.98
0.733,27.75,27.98
0.747,27.78,27.99
0.762,27.88,27.99
0.776,27.8,27.99
0.79,27.79,27.99
0.804,27.85,27.99
0.818,27.89,27.99
0.832,27.82,27.98
0.846,27.77,27.99
0.86,27.8,27.99
0.875,27.8,27.99
0.889,27.81,27.99
0.903,27.82,27.99
0.917,27.83,27.99
0.932,27.79,27.99
0.947,27.76,27.99
0.961,27.79,27.99
0.976,27.8,27.99
0.991,27.85,27.99
1.005,27.86,27.99
1.02,27.81,27.99
1.035,27.79,27.99
1.049,27.79,27.99
1.064,27.82,27.99
1.079,27.86,27.99
1.094,27.92,27.99
1.108,27.79,28.0
1.123,27.71,28.0
1.137,27.9,28.0
1.152,28.03,28.0
1.167,27.61,28.01
1.182,27.52,28.01
1.196,27.96,28.0
1.211,28.06,28.0
1.226,27.78,28.0
1.24,27.62,28.01
1.255,27.89,28.0
1.27,28.0,28.0
1.285,27.62,28.01
1.299,27.51,28.01
1.314,27.97,28.0
1.328,28.0,28.0
1.346,27.67,28.01
1.36,27.68,28.01
1.375,27.9,28.0
1.389,27.88,28.0
1.403,27.77,28.01
1.418,27.75,28.0
1.432,27.81,28.0
1.447,27.87,28.0
1.461,27.8,28.01
1.475,27.67,28.01
1.489,27.76,28.01
1.503,27.89,28.01
1.518,27.77,28.01
1.532,27.75,28.01
1.546,27.84,28.01
1.56,27.84,28.0
1.574,27.77,28.0
1.589,27.75,28.0
1.604,27.81,28.0
1.618,27.82,28.0
1.632,27.79,28.0
1.646,27.77,28.0
1.661,27.78,28.0
1.675,27.79,28.0
1.689,27.8,28.0
1.704,27.78,28.0
1.718,27.78,28.0
1.732,27.79,28.0
1.746,27.81,28.0
1.76,27.79,28.0
1.775,27.75,28.0
1.789,27.78,28.0
1.803,27.81,28.0
1.817,27.82,28.0
1.831,27.84,28.0
1.845,27.83,28.0
1.859,27.79,28.0
1.874,27.86,28.0
1.889,27.91,28.0
1.904,27.82,28.0
1.918,27.77,28.0
1.932,27.83,28.0
1.946,27.85,28.0
1.96,27.72,28.0
1.975,27.69,28.0
1.99,27.88,28.0
2.005,27.89,28.0
2.019,27.76,28.0
2.034,27.71,28.0
2.048,27.88,28.0
2.063,27.87,28.0
2.078,27.74,28.0
2.092,27.75,28.0
2.107,27.93,28.0
2.122,27.9,28.0
2.137,27.71,28.0
2.151,27.71,28.0
2.166,27.9,28.0
2.18,27.88,28.0
2.195,27.75,28.0
2.209,27.73,28.0
2.224,27.91,28.0
2.239,27.92,28.0
2.254,27.85,28.0
2.268,27.89,28.0
2.282,27.89,28.0
2.297,27.78,28.0
2.311,27.8,28.01
2.326,27.84,28.01
2.341,27.89,28.01
2.355,27.87,28.01
2.37,27.8,28.01
2.384,27.74,28.01
2.398,27.79,28.0
2.412,27.8,28.0
2.427,27.76,28.0
2.441,27.76,28.0
2.456,27.78,28.0
2.47,27.79,28.0
2.484,27.71,28.0
2.498,27.72,28.0
2.513,27.97,28.0
2.527,27.97,28.0
2.541,27.71,28.0
2.555,27.67,28.0
2.569,27.76,28.0
2.584,27.84,28.0
2.598,27.75,28.0
2.612,27.73,28.0
2.627,27.81,28.0
2.641,27.76,28.0
2.655,27.69,28.0
2.67,27.79,28.0
2.685,27.91,27.99
2.699,27.8,28.0
2.713,27.73,28.0
2.728,27.74,27.99
2.742,27.8,27.99
2.757,27.83,27.99
2.771,27.77,27.99
2.785,27.79,27.99
2.799,27.82,27.99
2.814,27.78,27.99
2.828,27.8,27.99
2.842,27.83,27.99
2.857,27.86,27.99
2.871,27.82,27.99
