Time (s),Accel Roll (deg),Gyro Roll (deg),Filtered Roll (deg)
0.0,-0.52,-0.48,-0.51
0.011,-0.37,-0.51,-0.39
0.026,-0.39,-0.39,-0.39
0.041,-0.49,-0.39,-0.48
0.056,-0.42,-0.48,-0.43
0.07,-0.34,-0.43,-0.35
0.085,-0.41,-0.35,-0.4
0.1,-0.47,-0.4,-0.46
0.115,-0.44,-0.46,-0.44
0.13,-0.4,-0.44,-0.4
0.144,-0.46,-0.4,-0.46
0.159,-0.48,-0.45,-0.48
0.174,-0.36,-0.48,-0.38
0.188,-0.34,-0.38,-0.34
0.203,-0.52,-0.34,-0.5
0.218,-0.55,-0.5,-0.55
0.233,-0.4,-0.55,-0.41
0.247,-0.38,-0.41,-0.38
0.262,-0.52,-0.38,-0.5
0.277,-0.48,-0.5,-0.48
0.292,-0.39,-0.48,-0.4
0.307,-0.43,-0.4,-0.43
0.321,-0.52,-0.43,-0.51
0.336,-0.49,-0.51,-0.49
0.351,-0.37,-0.49,-0.38
0.366,-0.37,-0.38,-0.37
0.381,-0.41,-0.37,-0.4
0.396,-0.43,-0.4,-0.42
0.411,-0.44,-0.42,-0.44
0.425,-0.43,-0.44,-0.43
0.439,-0.43,-0.43,-0.43
0.454,-0.41,-0.43,-0.41
0.469,-0.41,-0.41,-0.41
0.483,-0.45,-0.41,-0.45
0.497,-0.45,-0.45,-0.45
0.512,-0.44,-0.44,-0.44
0.527,-0.4,-0.44,-0.4
0.541,-0.35,-0.4,-0.36
0.556,-0.41,-0.35,-0.4
0.57,-0.53,-0.4,-0.52
0.585,-0.48,-0.52,-0.48
0.6,-0.32,-0.48,-0.34
0.614,-0.43,-0.34,-0.42
0.63,-0.48,-0.41,-0.48
0.644,-0.38,-0.48,-0.39
0.659,-0.36,-0.39,-0.37
0.673,-0.48,-0.36,-0.47
0.688,-0.41,-0.47,-0.42
0.703,-0.3,-0.42,-0.32
0.718,-0.4,-0.32,-0.39
0.733,-0.53,-0.39,-0.52
0.747,-0.41,-0.51,-0.42
0.762,-0.28,-0.42,-0.3
0.776,-0.45,-0.29,-0.44
0.791,-0.52,-0.43,-0.51
0.805,-0.39,-0.51,-0.4
0.82,-0.3,-0.41,-0.31
0.834,-0.37,-0.31,-0.37
0.849,-0.54,-0.36,-0.53
0.864,-0.5,-0.53,-0.5
0.878,-0.32,-0.5,-0.34
0.893,-0.39,-0.34,-0.38
0.907,-0.54,-0.38,-0.52
0.922,-0.49,-0.52,-0.49
0.936,-0.36,-0.49,-0.37
0.951,-0.43,-0.37,-0.43
0.965,-0.51,-0.42,-0.5
0.98,-0.4,-0.5,-0.41
0.994,-0.39,-0.41,-0.39
1.009,-0.51,-0.38,-0.5
1.024,-0.59,-0.49,-0.58
1.039,-0.41,-0.58,-0.42
1.054,-0.32,-0.43,-0.33
1.068,-0.5,-0.33,-0.48
1.083,-0.52,-0.47,-0.51
1.098,-0.39,-0.51,-0.4
1.113,-0.34,-0.4,-0.35
1.127,-0.41,-0.35,-0.41
1.142,-0.46,-0.4,-0.46
1.157,-0.44,-0.46,-0.44
1.172,-0.41,-0.44,-0.41
1.187,-0.45,-0.41,-0.45
1.202,-0.42,-0.45,-0.42
1.217,-0.36,-0.42,-0.36
1.232,-0.47,-0.36,-0.46
1.247,-0.52,-0.45,-0.51
1.261,-0.48,-0.51,-0.48
1.276,-0.43,-0.48,-0.43
1.291,-0.45,-0.43,-0.45
1.306,-0.47,-0.44,-0.47
1.321,-0.42,-0.46,-0.42
1.335,-0.43,-0.42,-0.43
1.35,-0.44,-0.43,-0.44
1.365,-0.46,-0.44,-0.46
1.38,-0.37,-0.46,-0.38
1.395,-0.34,-0.38,-0.35
1.409,-0.41,-0.35,-0.4
1.424,-0.45,-0.4,-0.44
1.438,-0.44,-0.44,-0.44
1.453,-0.41,-0.44,-0.42
1.468,-0.43,-0.41,-0.43
1.482,-0.44,-0.42,-0.44
1.497,-0.45,-0.44,-0.45
1.511,-0.41,-0.45,-0.42
1.526,-0.39,-0.41,-0.39
1.54,-0.42,-0.39,-0.42
1.554,-0.38,-0.41,-0.38
1.569,-0.4,-0.38,-0.4
1.583,-0.43,-0.4,-0.42
1.598,-0.43,-0.42,-0.43
1.612,-0.43,-0.43,-0.43
1.627,-0.41,-0.42,-0.41
1.641,-0.4,-0.41,-0.4
1.655,-0.42,-0.4,-0.42
