Time (s),Accel Roll (deg),Gyro Roll (deg),Filtered Roll (deg)
0.002,-1.44,-2.1,-1.51
0.016,-1.57,-1.51,-1.56
0.031,-1.57,-1.55,-1.57
0.046,-2.19,-1.54,-2.12
0.061,-2.14,-2.1,-2.14
0.076,-2.09,-2.13,-2.09
0.091,-1.91,-2.09,-1.93
0.106,-1.83,-1.94,-1.84
0.121,-2.01,-1.85,-1.99
0.136,-1.55,-2.0,-1.59
0.15,-1.78,-1.59,-1.76
0.165,-2.08,-1.76,-2.05
0.181,-2.06,-2.04,-2.06
0.195,-1.77,-2.06,-1.8
0.211,-1.96,-1.8,-1.95
0.225,-1.57,-1.95,-1.61
0.24,-1.7,-1.6,-1.69
0.255,-1.65,-1.67,-1.65
0.27,-1.88,-1.63,-1.85
0.284,-2.23,-1.84,-2.19
0.299,-2.13,-2.18,-2.14
0.314,-1.87,-2.14,-1.9
0.328,-1.88,-1.91,-1.88
0.343,-1.68,-1.89,-1.7
0.357,-1.78,-1.7,-1.77
0.372,-1.6,-1.77,-1.62
0.386,-1.69,-1.61,-1.68
0.401,-1.97,-1.66,-1.94
0.415,-2.17,-1.91,-2.14
0.43,-2.13,-2.12,-2.13
0.444,-1.95,-2.12,-1.97
0.458,-1.87,-1.97,-1.88
0.473,-2.02,-1.88,-2.01
0.487,-2.11,-2.0,-2.1
0.502,-2.06,-2.1,-2.07
0.517,-2.03,-2.07,-2.03
0.531,-1.97,-2.04,-1.98
0.546,-2.0,-1.98,-2.0
0.56,-2.02,-2.0,-2.02
0.574,-2.04,-2.02,-2.03
0.589,-1.96,-2.04,-1.97
0.604,-1.94,-1.97,-1.95
0.619,-2.05,-1.95,-2.04
0.634,-2.02,-2.05,-2.02
0.648,-1.92,-2.03,-1.93
0.663,-1.81,-1.94,-1.83
0.678,-1.78,-1.83,-1.79
0.692,-1.86,-1.79,-1.86
0.707,-2.02,-1.85,-2.0
0.721,-1.97,-2.0,-1.97
0.736,-1.94,-1.96,-1.94
0.75,-1.9,-1.94,-1.9
0.764,-1.86,-1.9,-1.86
0.779,-1.96,-1.85,-1.95
0.793,-2.01,-1.94,-2.01
0.808,-2.0,-2.0,-2.0
0.822,-2.01,-1.99,-2.01
0.837,-2.03,-2.0,-2.03
0.851,-2.12,-2.02,-2.11
0.866,-2.12,-2.11,-2.12
0.88,-2.06,-2.13,-2.07
0.895,-2.01,-2.08,-2.01
0.91,-1.99,-2.03,-1.99
0.924,-1.87,-2.01,-1.88
0.939,-1.81,-1.89,-1.82
0.953,-1.79,-1.82,-1.79
0.968,-1.86,-1.79,-1.86
0.982,-1.92,-1.85,-1.92
0.997,-1.97,-1.91,-1.97
1.011,-1.92,-1.96,-1.92
1.026,-1.89,-1.92,-1.9
1.041,-1.88,-1.89,-1.88
1.056,-1.94,-1.87,-1.93
1.07,-2.02,-1.92,-2.01
1.084,-1.97,-2.0,-1.97
1.099,-1.93,-1.97,-1.93
1.113,-1.92,-1.93,-1.92
1.128,-1.9,-1.92,-1.9
1.142,-1.91,-1.9,-1.91
1.157,-2.05,-1.9,-2.04
1.171,-2.06,-2.03,-2.06
1.186,-1.94,-2.07,-1.95
1.2,-1.87,-1.96,-1.88
1.215,-1.93,-1.88,-1.92
1.229,-1.97,-1.92,-1.96
1.244,-1.9,-1.96,-1.9
1.259,-1.9,-1.9,-1.9
1.274,-1.86,-1.9,-1.87
1.288,-1.93,-1.86,-1.93
1.302,-1.94,-1.92,-1.94
1.317,-1.93,-1.94,-1.93
1.331,-1.9,-1.93,-1.9
1.346,-1.86,-1.9,-1.86
1.36,-1.96,-1.86,-1.95
1.375,-1.98,-1.95,-1.98
1.389,-1.89,-1.98,-1.9
1.404,-1.88,-1.9,-1.88
1.419,-1.92,-1.88,-1.91
1.433,-1.95,-1.91,-1.94
1.448,-1.98,-1.94,-1.98
1.462,-2.03,-1.97,-2.03
1.476,-2.13,-2.02,-2.12
1.491,-2.06,-2.12,-2.07
1.505,-1.96,-2.08,-1.97
1.52,-1.86,-1.98,-1.88
1.534,-1.87,-1.89,-1.87
1.548,-1.74,-1.88,-1.76
1.563,-1.65,-1.76,-1.66
1.578,-1.81,-1.66,-1.8
1.592,-1.87,-1.79,-1.86
1.607,-2.0,-1.85,-1.99
1.621,-2.09,-1.98,-2.07
1.636,-1.93,-2.07,-1.95
1.65,-1.88,-1.94,-1.89
1.665,-1.9,-1.88,-1.9
1.679,-1.96,-1.89,-1.95
1.694,-1.98,-1.94,-1.98
1.709,-1.89,-1.97,-1.9
1.723,-1.91,-1.89,-1.91
1.738,-2.13,-1.9,-2.11
1.752,-2.22,-2.1,-2.21
1.767,-2.15,-2.2,-2.15
1.782,-2.02,-2.16,-2.03
1.796,-2.02,-2.04,-2.02
1.811,-1.95,-2.03,-1.96
1.825,-1.87,-1.96,-1.88
1.839,-1.86,-1.88,-1.86
1.854,-1.91,-1.86,-1.9
1.869,-1.9,-1.9,-1.9
1.883,-1.91,-1.89,-1.91
1.898,-1.98,-1.9,-1.97
1.913,-1.96,-1.96,-1.96
1.927,-1.96,-1.96,-1.96
1.942,-2.0,-1.95,-1.99
1.956,-2.06,-1.99,-2.05
1.971,-2.08,-2.06,-2.07
1.985,-1.97,-2.08,-1.98
2.0,-1.92,-1.98,-1.93
2.014,-1.94,-1.93,-1.94
