Time (s),Accel Roll (deg),Gyro Roll (deg),Filtered Roll (deg),,
0.001,-0.63,-0.61,-0.61,noise,0.010219086
0.009,-0.6,-0.61,-0.61,"drift (10_DEG, 20SEC)",0.005526316
0.024,-0.61,-0.6,-0.6,"drift (0_DEG, 20SEC)",0.324257426
0.038,-0.65,-0.6,-0.61,9.204766764,0.795233236
0.053,-0.7,-0.6,-0.61,,
0.067,-0.69,-0.61,-0.62,,
0.082,-0.65,-0.62,-0.62,,
0.096,-0.54,-0.62,-0.61,,
0.111,-0.56,-0.61,-0.6,,
0.125,-0.66,-0.6,-0.61,,
0.14,-0.64,-0.6,-0.61,,
0.155,-0.7,-0.61,-0.61,,
0.169,-0.7,-0.61,-0.62,,
0.185,-0.63,-0.62,-0.62,,
0.201,-0.63,-0.62,-0.62,,
0.217,-0.65,-0.62,-0.62,,
0.231,-0.66,-0.62,-0.62,,
0.245,-0.67,-0.62,-0.62,,
0.26,-0.66,-0.62,-0.63,,
0.274,-0.55,-0.63,-0.62,,
0.289,-0.56,-0.62,-0.61,,
0.304,-0.67,-0.61,-0.61,,
0.319,-0.7,-0.61,-0.62,,
0.334,-0.74,-0.62,-0.63,,
0.349,-0.71,-0.63,-0.64,,
0.363,-0.57,-0.64,-0.63,,
0.378,-0.56,-0.63,-0.62,,
0.392,-0.67,-0.62,-0.62,,
0.407,-0.75,-0.62,-0.63,,
0.421,-0.76,-0.63,-0.64,,
0.436,-0.7,-0.64,-0.65,,
0.45,-0.61,-0.65,-0.64,,
0.466,-0.63,-0.64,-0.64,,
0.48,-0.71,-0.64,-0.64,,
0.494,-0.69,-0.64,-0.65,,
0.509,-0.68,-0.64,-0.65,,
0.524,-0.63,-0.64,-0.64,,
0.539,-0.57,-0.64,-0.63,,
0.553,-0.6,-0.63,-0.63,,
0.568,-0.67,-0.63,-0.63,,
0.582,-0.76,-0.63,-0.64,,
0.597,-0.74,-0.64,-0.65,,
0.611,-0.6,-0.65,-0.64,,
0.626,-0.55,-0.64,-0.63,,
0.642,-0.63,-0.63,-0.63,,
0.656,-0.69,-0.63,-0.63,,
0.671,-0.76,-0.63,-0.64,,
0.686,-0.75,-0.64,-0.65,,
0.701,-0.63,-0.65,-0.65,,
0.716,-0.57,-0.65,-0.64,,
0.731,-0.57,-0.64,-0.63,,
0.746,-0.7,-0.63,-0.63,,
0.761,-0.74,-0.63,-0.64,,
0.776,-0.64,-0.64,-0.64,,
0.791,-0.57,-0.64,-0.63,,
0.806,-0.64,-0.63,-0.63,,
0.821,-0.67,-0.63,-0.63,,
0.836,-0.72,-0.63,-0.64,,
0.851,-0.71,-0.63,-0.64,,
0.866,-0.58,-0.64,-0.63,,
0.881,-0.52,-0.63,-0.62,,
0.896,-0.59,-0.62,-0.62,,
0.911,-0.62,-0.61,-0.61,,
0.926,-0.68,-0.61,-0.62,,
0.94,-0.75,-0.62,-0.63,,
0.955,-0.65,-0.63,-0.63,,
0.97,-0.57,-0.63,-0.62,,
0.985,-0.61,-0.62,-0.62,,
1,-0.68,-0.61,-0.62,,
1.014,-0.7,-0.62,-0.63,,
1.029,-0.67,-0.62,-0.63,,
1.043,-0.68,-0.63,-0.63,,
1.058,-0.66,-0.63,-0.63,,
1.072,-0.58,-0.63,-0.63,,
1.087,-0.57,-0.62,-0.62,,
1.102,-0.64,-0.61,-0.62,,
1.116,-0.72,-0.62,-0.63,,
1.131,-0.64,-0.62,-0.63,,
1.145,-0.57,-0.62,-0.62,,
1.16,-0.59,-0.62,-0.61,,
1.175,-0.61,-0.61,-0.61,,
1.189,-0.67,-0.61,-0.61,,
1.204,-0.72,-0.61,-0.62,,
1.219,-0.68,-0.62,-0.63,,
1.233,-0.6,-0.63,-0.62,,
1.247,-0.61,-0.62,-0.62,,
1.263,-0.68,-0.62,-0.62,,
1.277,-0.72,-0.62,-0.63,,
1.292,-0.67,-0.63,-0.63,,
1.307,-0.64,-0.63,-0.63,,
1.322,-0.55,-0.63,-0.62,,
1.337,-0.54,-0.62,-0.61,,
1.352,-0.7,-0.61,-0.62,,
1.367,-0.7,-0.62,-0.62,,
1.382,-0.64,-0.62,-0.62,,
1.397,-0.62,-0.62,-0.62,,
1.412,-0.61,-0.62,-0.62,,
1.427,-0.63,-0.62,-0.62,,
1.442,-0.7,-0.61,-0.62,,
1.456,-0.73,-0.62,-0.63,,
1.471,-0.72,-0.63,-0.64,,
1.486,-0.65,-0.63,-0.64,,
1.501,-0.61,-0.63,-0.63,,
1.516,-0.63,-0.63,-0.63,,
1.531,-0.68,-0.63,-0.63,,
1.546,-0.73,-0.63,-0.64,,
1.561,-0.69,-0.64,-0.64,,
1.576,-0.66,-0.64,-0.64,,
1.591,-0.53,-0.64,-0.63,,
1.606,-0.63,-0.62,-0.63,,
1.621,-0.67,-0.62,-0.63,,
1.636,-0.68,-0.62,-0.63,,
1.651,-0.65,-0.63,-0.63,,
1.666,-0.62,-0.63,-0.63,,
1.681,-0.61,-0.62,-0.62,,
1.695,-0.67,-0.62,-0.63,,
1.71,-0.74,-0.62,-0.63,,
1.725,-0.7,-0.63,-0.64,,
1.74,-0.65,-0.63,-0.64,,
1.755,-0.6,-0.63,-0.63,,
1.77,-0.55,-0.63,-0.62,,
1.785,-0.59,-0.62,-0.61,,
1.8,-0.67,-0.61,-0.62,,
1.814,-0.65,-0.62,-0.62,,
1.829,-0.64,-0.62,-0.62,,
1.844,-0.61,-0.62,-0.62,,
1.859,-0.61,-0.61,-0.61,,
1.874,-0.65,-0.61,-0.62,,
1.889,-0.7,-0.61,-0.62,,
1.905,-0.67,-0.62,-0.62,,
1.92,-0.63,-0.62,-0.62,,
1.935,-0.64,-0.62,-0.62,,
1.95,-0.65,-0.62,-0.62,,
1.965,-0.61,-0.62,-0.62,,
1.98,-0.63,-0.62,-0.62,,
1.994,-0.7,-0.61,-0.62,,
2.009,-0.69,-0.62,-0.63,,
2.023,-0.67,-0.63,-0.63,,
2.038,-0.65,-0.63,-0.63,,
