Time (s),Gyro Roll (deg)
0.001,-0.81
0.008,-0.81
0.023,-0.81
0.037,-0.81
0.052,-0.81
0.066,-0.81
0.081,-0.81
0.095,-0.81
0.11,-0.81
0.124,-0.81
0.139,-0.81
0.153,-0.81
0.168,-0.81
0.182,-0.81
0.196,-0.81
0.211,-0.81
0.225,-0.81
0.24,-0.81
0.254,-0.81
0.269,-0.8
0.284,-0.8
0.299,-0.8
0.313,-0.8
0.328,-0.8
0.342,-0.8
0.357,-0.8
0.371,-0.8
0.386,-0.8
0.4,-0.8
0.415,-0.8
0.429,-0.8
0.444,-0.8
0.458,-0.8
0.473,-0.8
0.487,-0.8
0.501,-0.8
0.516,-0.8
0.53,-0.8
0.545,-0.8
0.559,-0.8
0.574,-0.8
0.588,-0.8
0.602,-0.79
0.617,-0.79
0.631,-0.79
0.645,-0.79
0.66,-0.79
0.674,-0.79
0.688,-0.79
0.703,-0.79
0.717,-0.79
0.732,-0.79
0.746,-0.79
0.761,-0.79
0.775,-0.79
0.79,-0.79
0.804,-0.79
0.818,-0.79
0.834,-0.79
0.849,-0.79
0.863,-0.79
0.878,-0.79
0.892,-0.79
0.907,-0.79
0.921,-0.79
0.935,-0.79
0.95,-0.79
0.964,-0.79
0.979,-0.79
0.993,-0.79
1.008,-0.79
1.022,-0.79
1.037,-0.79
1.051,-0.79
1.066,-0.79
1.08,-0.79
1.095,-0.79
1.109,-0.79
1.124,-0.79
1.138,-0.79
1.153,-0.79
1.167,-0.79
1.182,-0.79
1.196,-0.79
1.21,-0.79
1.225,-0.79
1.24,-0.79
1.254,-0.79
1.269,-0.79
1.283,-0.79
1.298,-0.79
1.312,-0.79
1.327,-0.79
1.341,-0.79
1.356,-0.79
1.37,-0.79
1.385,-0.79
1.399,-0.79
1.414,-0.79
1.428,-0.79
1.443,-0.79
1.457,-0.79
1.471,-0.79
1.486,-0.79
1.5,-0.79
1.514,-0.79
1.529,-0.79
1.544,-0.79
1.558,-0.79
1.573,-0.78
1.587,-0.78
1.602,-0.78
1.616,-0.78
1.631,-0.78
1.645,-0.78
1.66,-0.78
1.674,-0.78
1.689,-0.78
1.703,-0.78
1.718,-0.78
1.732,-0.78
1.747,-0.78
1.761,-0.78
1.776,-0.78
1.79,-0.78
1.804,-0.78
1.819,-0.78
1.833,-0.78
1.848,-0.78
1.862,-0.78
1.877,-0.78
1.891,-0.78
1.906,-0.78
1.92,-0.78
1.935,-0.78
1.949,-0.78
1.964,-0.78
1.978,-0.78
1.993,-0.78
2.007,-0.78
2.022,-0.78
2.036,-0.78
2.051,-0.78
2.065,-0.78
2.08,-0.78
2.094,-0.78
2.109,-0.78
2.123,-0.78
2.137,-0.78
2.152,-0.78
2.167,-0.78
2.181,-0.78
2.195,-0.78
2.21,-0.78
2.225,-0.78
2.239,-0.78
2.253,-0.78
2.268,-0.78
2.282,-0.78
2.297,-0.78
2.311,-0.78
2.326,-0.78
2.34,-0.78
2.354,-0.78
2.369,-0.78
2.383,-0.78
2.398,-0.78
2.412,-0.78
2.427,-0.78
2.441,-0.78
2.455,-0.78
2.47,-0.78
2.484,-0.78
2.499,-0.78
2.513,-0.78
2.527,-0.78
2.542,-0.79
2.556,-0.78
2.571,-0.78
2.585,-0.78
2.6,-0.78
2.614,-0.78
2.629,-0.78
2.643,-0.78
2.658,-0.78
2.673,-0.78
2.688,-0.78
2.702,-0.78
2.717,-0.79
2.732,-0.79
2.746,-0.79
2.761,-0.78
2.775,-0.78
2.79,-0.78
2.804,-0.78
2.819,-0.78
2.833,-0.78
2.847,-0.78
2.862,-0.78
2.876,-0.78
2.891,-0.79
2.905,-0.79
2.92,-0.79
2.935,-0.78
2.949,-0.79
2.964,-0.79
2.978,-0.79
2.992,-0.79
3.007,-0.79
3.021,-0.79
3.036,-0.78
3.05,-0.78
3.065,-0.78
3.079,-0.78
3.093,-0.78
3.108,-0.78
3.123,-0.78
3.137,-0.78
3.151,-0.78
3.166,-0.78
3.18,-0.78
3.195,-0.78
3.209,-0.78
3.224,-0.78
3.238,-0.78
3.253,-0.78
3.267,-0.78
3.282,-0.78
3.296,-0.78
3.311,-0.78
3.328,-0.78
3.342,-0.78
3.357,-0.78
3.372,-0.78
3.386,-0.78
3.401,-0.77
3.416,-0.77
3.431,-0.78
3.446,-0.78
3.461,-0.78
3.476,-0.77
3.49,-0.77
3.505,-0.78
3.519,-0.77
3.534,-0.77
3.548,-0.77
3.563,-0.77
3.577,-0.77
3.592,-0.77
3.606,-0.77
3.621,-0.77
3.635,-0.77
3.651,-0.77
3.665,-0.77
3.68,-0.77
3.694,-0.77
3.709,-0.77
3.723,-0.77
3.737,-0.77
3.752,-0.77
3.766,-0.77
3.781,-0.77
3.795,-0.77
3.81,-0.77
3.824,-0.77
3.839,-0.77
3.853,-0.77
3.868,-0.77
3.883,-0.77
3.897,-0.77
3.912,-0.77
3.926,-0.77
3.941,-0.77
3.955,-0.77
3.97,-0.77
3.984,-0.77
3.998,-0.77
